Make,AverageCityMPG,AverageHighwayMPG
Acura,23,31.5
Alfa Romeo,20.5,28.5
Aston Martin,12,19
Audi,19.4,27.4
BMW,35.55555556,38.22222222
Bentley,12.5,21
Buick,20.33333333,28
Cadillac,18,25.83333333
Chevrolet,34.85714286,38.85714286
Chrysler,19.66666667,30
Dodge,15.6,23.6
Ferrari,14,19
Fiat,56.33333333,55.66666667
Ford,30.875,34.5
GMC,18.25,25
Genesis,16.33333333,24.66666667
Honda,26,34.33333333
Hyundai,65,60.33333333
Infiniti,20.5,26.5
Jaguar,21,29.5
Jeep,18,24.66666667
Kia,45,43.25
Lamborghini,12,19
Land Rover,18.25,24.25
Lexus,23.6,28.8
Lincoln,19.5,26.5
Lotus,17,24
MINI,24,33
Maserati,15,22
Mazda,26.5,34.5
McLaren Automotive,16,23
Mercedes-Benz,31.2,35.8
Mitsubishi,50,50.5
Nissan,37.66666667,39.33333333
Porsche,18,24.66666667
Ram,17.33333333,24.33333333
Rolls-Royce,12,19
Roush Performance,14,23
Subaru,22,29.33333333
Tesla,92,98
Toyota,22,27
Volkswagen,21,28.66666667
Volvo,22.5,30.5
smart,32,39